0	s5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r1	 	1	2	3	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	 	 	 	s62	 	r30	 	 	 	 	 	 	 	 	s53	s54	s55	s56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	61	 	 	 
50	 	 	 	 	 	s63	 	 	 	 	 	 	 	 	s53	s54	s55	s56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	 	 	 	 	 	s64	 	 	 	 	 	 	 	 	s53	s54	s55	s56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	r23	r23	 	 	 	 	 	r23	 	r23	r23	r23	r23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	 	s42	 	 	s44	 	 	 	 	 	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	65	41	 
54	 	s42	 	 	s44	 	 	 	 	 	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	66	41	 
55	 	s42	 	 	s44	 	 	 	 	 	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	67	41	 
56	 	s42	 	 	s44	 	 	 	 	 	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	68	41	 
57	 	 	 	 	 	s69	 	 	 	 	 	 	 	 	s53	s54	s55	s56	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	 	 	 	 	 	r12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	r20	r20	 	 	 	 	 	r20	 	r20	r20	r20	r20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	 	 	r35	r35	 	r35	 	 	 	 	 	 	 	 	r35	r35	r35	r35	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	 	 	 	 	 	r29	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	 	s42	 	 	s44	 	 	 	 	 	 	 	 	s43	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	70	41	 
